All Transactions Activity Types

Account Activity for Individual Brokerage -0129 from LAST 60 Days

Total:,16582.68

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
06/05/26,06/05/26,06/08/26,Sold To Close,CALL QQQ    06/05/26   727.000,QQQ,--,-29.0,0.04,100.98,14.92,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL IBM    07/10/26   325.000,IBM,--,1.0,5.8,-580.51,0.51,--,--
06/05/26,06/05/26,06/08/26,Sold Short,CALL IBM    07/10/26   315.000,IBM,--,-1.0,7.0,699.47,0.53,--,--
06/05/26,06/05/26,06/08/26,Sold Short,CALL ASTS   06/26/26   110.000,ASTS,--,-1.0,5.44,543.47,0.53,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL ASTS   06/26/26   120.000,ASTS,--,1.0,3.74,-374.51,0.51,--,--
06/05/26,06/05/26,06/08/26,Sold Short,CALL NVTS   06/12/26    29.000,NVTS,--,-4.0,0.95,377.92,2.07,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL QQQ    06/05/26   727.000,QQQ,--,1.0,0.86,-86.51,0.51,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL QQQ    06/05/26   727.000,QQQ,--,3.0,1.56,-469.54,1.54,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL QQQ    06/05/26   727.000,QQQ,--,5.0,1.68,-842.57,2.57,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL QQQ    06/05/26   727.000,QQQ,--,3.0,2.01,-604.54,1.54,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL QQQ    06/05/26   727.000,QQQ,--,7.0,2.03,-1424.6,3.6,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL QQQ    06/05/26   727.000,QQQ,--,10.0,2.19,-2195.14,5.14,--,--
06/05/26,06/05/26,06/08/26,Sold To Close,CALL QQQ    06/05/26   726.000,QQQ,--,-10.0,2.75,2744.77,5.2,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL QQQ    06/05/26   726.000,QQQ,--,10.0,2.47,-2475.14,5.14,--,--
06/05/26,06/05/26,06/08/26,Sold To Close,CALL QQQ    06/05/26   730.000,QQQ,--,-120.0,0.8,9537.73,61.88,--,--
06/05/26,06/05/26,06/08/26,Bought,NAVITAS SEMICONDUCTOR CORP UNSOLICITED TRADE,NVTS,--,200.0,26.91,-5382.0,0.0,--,--
06/05/26,06/05/26,06/08/26,Bought To Open,CALL SOXL   06/12/26   215.000,SOXL,--,2.0,25.0,-5001.03,1.03,--,--
06/05/26,06/05/26,06/08/26,Sold To Close,CALL SOXL   06/12/26   230.000,SOXL,--,-2.0,16.0,3198.89,1.1,--,--
06/05/26,06/05/26,06/08/26,Sold To Close,PUT  QQQ    06/08/26   730.000,QQQ,--,-2.0,4.95,988.93,1.06,--,--
06/04/26,06/04/26,06/04/26,Online Transfer,ACH DEPOSIT  REFID:23207639395;,--,--,,,2750.0,0.0,--,--
06/04/26,06/04/26,06/05/26,Sold Short,CALL PLTR   07/10/26   160.000,PLTR,--,-1.0,3.38,337.48,0.52,--,--
06/04/26,06/04/26,06/05/26,Bought,NAVITAS SEMICONDUCTOR CORP UNSOLICITED TRADE,NVTS,--,100.0,29.622,-2962.18,0.0,--,--
06/03/26,06/03/26,06/04/26,Bought,NAVITAS SEMICONDUCTOR CORP UNSOLICITED TRADE,NVTS,--,100.0,31.725,-3172.5,0.0,--,--
06/03/26,06/03/26,06/04/26,Sold To Close,CALL NVTS   01/15/27    30.000,NVTS,--,-11.0,13.3,14624.0,5.96,--,--
06/03/26,06/03/26,06/04/26,Bought To Open,CALL NVTS   01/15/27    30.000,NVTS,--,10.0,13.0,-13005.14,5.14,--,--
06/03/26,06/03/26,06/04/26,Bought To Open,CALL NVTS   01/15/27    30.000,NVTS,--,1.0,12.5,-1250.51,0.51,--,--
06/02/26,06/02/26,06/03/26,Sold,SUPER MICRO COMPUTER INC NEW UNSOLICITED TRADE,SMCI,--,-200.0,49.835,9966.75,0.21,--,--
06/02/26,06/02/26,06/03/26,Sold,SUPER MICRO COMPUTER INC NEW UNSOLICITED TRADE,SMCI,--,-300.0,49.832,14949.08,0.31,--,--
06/02/26,06/02/26,06/03/26,Bought,SUPER MICRO COMPUTER INC NEW UNSOLICITED TRADE,SMCI,--,500.0,49.91,-24955.0,0.0,--,--
06/02/26,06/02/26,06/03/26,Sold To Close,CALL NOW    01/15/27   125.000,NOW,--,-1.0,27.6,2759.43,0.57,--,--
06/02/26,06/02/26,06/03/26,Sold To Close,CALL SNOW   07/17/26   260.000,SNOW,--,-1.0,24.25,2424.44,0.56,--,--
06/01/26,06/01/26,06/02/26,Sold,MARA HOLDINGS INC UNSOLICITED TRADE,MARA,--,-100.0,14.98,1497.95,0.04,--,--
